TransactionAmount,PreviousTransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,TimeSincePrevSeconds,TransactionCountTotal,TransactionAmountBin,LoginAttemptsBin,KMeansLabel,KMeansPCALabel,Cluster_KMeans,Cluster_KMeans_PCA
0.007207441957422414,2023-04-11 16:29:14,1,36,0,0.8387096774193548,0,0.24482758620689654,0.0,0.33683185966818,2024-11-04 08:08:08,0.728036382805127,0.5454545454545454,1,1,3,3,3,3
0.1959402767282487,2023-06-27 16:44:19,1,15,0,0.8064516129032258,0,0.45172413793103444,0.0,0.9180546275595326,2024-11-04 08:09:35,0.5165309386431475,0.5454545454545454,2,1,1,1,1,1
0.0656799645621075,2023-07-10 18:16:08,1,23,2,0.016129032258064557,3,0.1586206896551724,0.0,0.06863734931174438,2024-11-04 08:07:04,0.4806466970625979,0.36363636363636365,1,1,3,3,3,3
0.0960158428225239,2023-05-05 16:32:11,1,33,2,0.12903225806451613,3,0.05172413793103449,0.0,0.569197956003802,2024-11-04 08:09:06,0.6621169299357051,0.6363636363636364,1,1,3,3,3,3
0.006873908851655939,2023-10-16 17:51:24,0,1,2,0.435483870967742,3,0.6482758620689656,0.0,0.4925911187531677,2024-11-04 08:06:39,0.21153742292553745,0.4545454545454545,1,1,3,3,3,3
0.04788805795137713,2023-04-03 17:15:01,1,28,0,0.0,3,0.5586206896551724,0.0,0.045737843102722775,2024-11-04 08:06:36,0.7499180266038518,0.6363636363636364,1,1,3,3,3,3
0.003554212158323996,2023-02-15 16:36:48,0,39,0,0.30645161290322587,0,0.44482758620689655,0.0,0.8883303734554748,2024-11-04 08:10:09,0.8790825413529758,0.09090909090909091,1,1,3,3,3,3
0.08919925997342157,2023-05-08 17:47:59,0,16,1,0.7903225806451613,2,0.9689655172413792,0.0,0.18115460779713835,2024-11-04 08:10:55,0.6537363640851529,0.5454545454545454,1,1,3,3,3,3
0.05522578627823957,2023-03-21 16:59:46,0,11,1,0.532258064516129,1,0.26206896551724135,0.0,0.6045605421617909,2024-11-04 08:11:14,0.7856602710305113,0.09090909090909091,1,1,3,3,3,3
0.4250983662089272,2023-03-31 16:06:57,1,26,0,0.5967741935483871,0,0.3793103448275862,0.0,0.06188385358620237,2024-11-04 08:06:32,0.758287180549715,0.5454545454545454,3,1,4,4,4,4
0.009130468770357246,2023-03-14 16:46:10,0,0,2,0.5483870967741935,1,0.16896551724137931,0.0,0.5040264197666963,2024-11-04 08:06:45,0.8049030628630333,0.4545454545454545,1,1,3,3,3,3
0.09889256585975975,2023-02-06 17:30:00,1,22,2,0.04838709677419356,3,0.5620689655172414,0.0,0.09595919536134934,2024-11-04 08:07:12,0.9036938237468514,0.5454545454545454,1,1,3,3,3,3
0.2575813638377153,2023-06-07 17:21:28,0,23,1,0.09677419354838712,3,0.3482758620689655,0.0,0.10209024288923516,2024-11-04 08:08:38,0.5713879962720264,0.1818181818181818,0,1,0,0,0,0
0.40727519086953123,2023-11-20 16:39:15,1,22,0,0.12903225806451613,3,0.3896551724137931,0.0,0.005944850820811549,2024-11-04 08:07:06,0.11554887272156478,0.4545454545454545,3,1,4,4,4,4
0.08689058550694426,2023-02-13 16:53:57,1,21,2,0.0,3,0.4275862068965517,0.0,0.013355076448200345,2024-11-04 08:10:09,0.8845428039723727,0.4545454545454545,1,1,3,3,3,3
0.2424316647992287,2023-12-12 16:23:31,1,10,0,0.29032258064516125,1,0.4103448275862069,0.0,0.22614430312017286,2024-11-04 08:12:19,0.05516613269654691,0.09090909090909091,0,1,0,0,0,0
